City_ID,City,Country,Lat,Lng
0,puerto ayora,EC,-0.75,-90.3166667
1,lapithos,CY,35.3125,33.1416667
2,bluff,NZ,-46.6,168.333333
3,beringovskiy,RU,63.05,179.316667
4,grindavik,IS,63.833333,-22.433333
5,hambantota,LK,6.1166667,81.1166667
6,wewak,PG,-3.55,143.6333333
7,mataura,PF,-23.3666667,-149.4666667
8,kaitangata,NZ,-46.275,169.85
9,butaritari,KI,3.0833333,172.8166667
10,mehamn,NO,71.033333,27.85
11,busselton,AU,-33.652489,115.345497
12,hadejia,NG,12.4498,10.0444
13,ushuaia,AR,-54.8,-68.3
14,palabuhanratu,ID,-6.9875,106.551389
15,cidreira,BR,-30.183333,-50.2
16,mar del plata,AR,-38.002278,-57.557539
17,stykkisholmur,IS,65.066667,-22.733333
18,arraial do cabo,BR,-22.966667,-42.016667
19,lazaro cardenas,MX,17.958333,-102.2
20,port hedland,AU,-20.312149,118.610588
21,panjakent,TJ,39.5030556,67.615
22,carnarvon,AU,-24.88073,113.659401
23,lagoa,PT,37.135349,-8.453188
24,vanersborg,SE,58.366667,12.316667
25,camacha,PT,33.083333,-16.333333
26,itaituba,BR,-4.216667,-56.016667
27,avarua,CK,-21.2077778,-159.775
28,srednekolymsk,RU,67.45,153.683333
29,utiroa,KI,-1.2166667,174.75
30,qaanaaq,GL,77.4894444,-69.3322222
31,codrington,AG,17.6333333,-61.8333333
32,taolanaro,MG,-25.0333333,47.0
33,cabo san lucas,MX,22.883333,-109.9
34,sitka,US,57.0530556,-135.33
35,husavik,IS,66.05,-17.35
36,cape town,ZA,-33.925839,18.423218
37,torbay,CA,47.65,-52.733333
38,ucluelet,CA,48.933333,-125.516667
39,nipawin,CA,53.366667,-104.016667
40,aracuai,BR,-16.866667,-42.066667
41,upernavik,GL,72.7833333,-56.1666667
42,saldanha,ZA,-33.01167,17.944202
43,borama,SO,9.9333333,43.1833333
44,punta arenas,CL,-53.15,-70.916667
45,kirkuk,IQ,35.4680556,44.3922222
46,tasiilaq,GL,65.6,-37.6333333
47,sola,VU,-13.8833333,167.55
48,saint-philippe,RE,-21.35,55.7666667
49,roma,AU,-26.56741,148.787506
50,puerto quijarro,BO,-17.7833333,-57.7666667
51,rikitea,PF,-23.1202778,-134.9691667
52,bonavista,CA,48.633333,-53.1
53,attawapiskat,CA,52.916667,-82.433333
54,vila velha,BR,-20.333333,-40.283333
55,burns lake,CA,54.216667,-125.766667
56,hermanus,ZA,-34.418696,19.234464
57,vaini,TO,-21.2,-175.2
58,rantepao,ID,-2.9701,119.8978
59,bredasdorp,ZA,-34.532154,20.040308
60,port hardy,CA,50.716667,-127.5
61,araruama,BR,-22.883333,-42.333333
62,souillac,MU,-20.5166667,57.5166667
63,guerrero negro,MX,27.976944,-114.061111
64,dikson,RU,73.506944,80.546389
65,pathein,MM,16.7833333,94.7333333
66,barrow,US,71.2905556,-156.7886111
67,porbandar,IN,21.633333,69.6
68,puerto cabezas,NI,14.0333333,-83.3833333
69,atuona,PF,-9.8,-139.0333333
70,gaya,IN,24.783333,85.0
71,severo-kurilsk,RU,50.678889,156.125
72,bambous virieux,MU,-20.3427778,57.7575
73,amga,RU,60.895278,131.960833
74,chokurdakh,RU,70.633333,147.916667
75,parakou,BJ,9.35,2.6166667
76,ribeira grande,PT,38.516667,-28.7
77,kondagaon,IN,19.6,81.666667
78,marawi,PH,7.998611,124.292778
79,hobart,AU,-42.883209,147.331665
80,sentyabrskiy,RU,45.266667,148.5
81,kapaa,US,22.0783333,-159.3219444
82,vestmannaeyjar,IS,63.365,-20.2075
83,nemuro,JP,43.323611,145.575
84,karaul,RU,70.076667,83.191389
