City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
5924351,Clyde River,90,CA,1601532538,86,70.47,-68.59,30.2,25.28
1496073,Orlik,83,RU,1601532539,69,52.52,99.83,33.89,4.94
2281120,Tabou,100,CI,1601532539,89,4.42,-7.35,76.62,9.33
245338,Am Timan,98,TD,1601532539,89,11.03,20.28,71.85,5.5
2165087,Gold Coast,40,AU,1601532261,73,-28.0,153.43,77.0,18.34
5969025,Haines Junction,87,CA,1601532540,83,60.75,-137.51,43.68,7.36
3389822,Salinópolis,14,BR,1601532540,83,-0.61,-47.36,77.94,10.58
3372472,Vila Franca do Campo,75,PT,1601532541,88,37.72,-25.43,66.2,9.17
1267390,Kavaratti,40,IN,1601532541,74,10.57,72.64,84.2,3.36
7671223,Kloulklubed,90,PW,1601532542,94,7.04,134.26,75.2,18.34
5106841,Albany,0,US,1601532536,64,42.6,-73.97,55.0,7.81
5546220,Saint George,1,US,1601532278,8,37.1,-113.58,82.4,16.11
3380290,Sinnamary,87,GF,1601532543,86,5.38,-52.95,78.44,9.24
1808857,Hanzhong,100,CN,1601532543,86,33.07,107.03,64.83,1.61
1795632,Shenjiamen,11,CN,1601532543,67,29.96,122.3,73.8,7.0
2264557,Ponta do Sol,75,PT,1601532544,77,32.67,-17.1,68.0,8.05
5122534,Jamestown,90,US,1601532544,81,42.1,-79.24,60.01,14.99
5972762,Hay River,20,CA,1601532545,86,60.82,-115.8,39.2,6.93
934322,Mahébourg,20,MU,1601532545,73,-20.41,57.7,75.2,6.93
3451138,Rio Grande,78,BR,1601532545,94,-32.03,-52.1,66.99,3.53
3492908,Santo Domingo,67,DO,1601532334,100,18.5,-69.99,81.0,5.55
1690666,Samal,40,PH,1601532546,55,7.07,125.71,91.4,9.17
6170031,Tuktoyaktuk,90,CA,1601532547,93,69.45,-133.04,35.6,20.8
3441702,Melo,28,UY,1601532547,94,-32.37,-54.18,66.11,2.71
3387204,Soure,15,BR,1601532547,82,-0.72,-48.52,78.69,10.94
2084442,Vanimo,100,PG,1601532548,82,-2.67,141.3,75.52,8.9
1337619,Ugoofaaru,59,MV,1601532548,74,5.67,73.0,81.9,13.27
3883457,Lebu,2,CL,1601532549,77,-37.62,-73.65,43.38,4.18
546105,Nikolskoye,69,RU,1601532549,93,59.7,30.79,46.0,8.95
3877918,Ovalle,0,CL,1601532549,80,-30.6,-71.2,46.85,1.25
2155415,New Norfolk,53,AU,1601532550,47,-42.78,147.06,59.0,5.01
3838859,Río Gallegos,40,AR,1601532550,92,-51.62,-69.22,30.2,13.87
3860443,Comodoro Rivadavia,40,AR,1601532551,45,-45.87,-67.5,42.8,12.75
1847947,Shingū,20,JP,1601532551,47,33.73,135.98,80.6,16.11
4513583,Hamilton,20,US,1601532316,58,39.18,-84.53,54.0,4.7
380348,Abū Zabad,100,SD,1601532552,67,12.35,29.25,78.84,13.27
315468,Ergani,2,TR,1601532476,39,38.27,39.76,73.4,4.7
2036619,Hushitai,100,CN,1601532552,82,41.93,123.51,55.4,4.47
5882953,Aklavik,75,CA,1601532553,93,68.22,-135.01,35.6,13.87
1006984,East London,40,ZA,1601532553,87,-33.02,27.91,57.2,11.41
934649,Cap Malheureux,0,MU,1601532554,62,-19.98,57.61,78.01,5.99
2119447,Yuzhno-Kurilsk,100,RU,1601532554,75,44.03,145.86,59.0,8.68
3355672,Lüderitz,23,NA,1601532555,76,-26.65,15.16,55.0,14.34
1697696,Nieves,75,PH,1601532555,66,15.33,120.95,91.4,9.17
1140025,Herat Province,0,AF,1601532555,20,34.5,62.0,62.6,3.36
